date,product_id,product_name,category,units_sold,current_stock,reorder_threshold,price,stock_status,days_until_stockout
2024-01-01,ELEC001,iPhone 15 Pro,Smartphones,2,76,15,999.99,In Stock,38
2024-01-01,ELEC002,Samsung Galaxy S24,Smartphones,4,116,24,899.99,In Stock,29
2024-01-01,ELEC003,MacBook Air M2,Laptops,2,159,32,1199.99,In Stock,79
2024-01-01,ELEC004,Dell XPS 13,Laptops,1,77,15,999.99,In Stock,77
2024-01-01,ELEC005,iPad Air,Tablets,7,129,27,599.99,In Stock,18
2024-01-01,ELEC006,Samsung Galaxy Tab S9,Tablets,1,114,23,649.99,In Stock,114
2024-01-01,ELEC007,AirPods Pro,Audio,6,133,27,249.99,In Stock,22
2024-01-01,ELEC008,Sony WH-1000XM5,Audio,3,117,24,349.99,In Stock,39
2024-01-01,ELEC009,Apple Watch Series 9,Wearables,5,130,27,399.99,In Stock,26
2024-01-01,ELEC010,Samsung Galaxy Watch 6,Wearables,3,193,39,349.99,In Stock,64
2024-01-01,ELEC011,Nintendo Switch OLED,Gaming,2,93,19,349.99,In Stock,46
2024-01-01,ELEC012,PlayStation 5,Gaming,3,175,35,499.99,In Stock,58
2024-01-01,ELEC013,Canon EOS R7,Cameras,1,75,15,1499.99,In Stock,75
2024-01-01,ELEC014,DJI Mini 3 Pro,Drones,2,113,23,759.99,In Stock,56
2024-01-01,ELEC015,Ring Video Doorbell,Smart Home,4,95,19,99.99,In Stock,23
2024-01-02,ELEC001,iPhone 15 Pro,Smartphones,5,71,15,999.99,In Stock,14
2024-01-02,ELEC002,Samsung Galaxy S24,Smartphones,2,114,24,899.99,In Stock,57
2024-01-02,ELEC003,MacBook Air M2,Laptops,2,157,32,1199.99,In Stock,78
2024-01-02,ELEC004,Dell XPS 13,Laptops,0,77,15,999.99,In Stock,999
2024-01-02,ELEC005,iPad Air,Tablets,6,123,27,599.99,In Stock,20
2024-01-02,ELEC006,Samsung Galaxy Tab S9,Tablets,2,112,23,649.99,In Stock,56
2024-01-02,ELEC007,AirPods Pro,Audio,7,126,27,249.99,In Stock,18
2024-01-02,ELEC008,Sony WH-1000XM5,Audio,1,116,24,349.99,In Stock,116
2024-01-02,ELEC009,Apple Watch Series 9,Wearables,4,126,27,399.99,In Stock,31
2024-01-02,ELEC010,Samsung Galaxy Watch 6,Wearables,3,190,39,349.99,In Stock,63
2024-01-02,ELEC011,Nintendo Switch OLED,Gaming,0,93,19,349.99,In Stock,999
2024-01-02,ELEC012,PlayStation 5,Gaming,2,173,35,499.99,In Stock,86
2024-01-02,ELEC013,Canon EOS R7,Cameras,0,75,15,1499.99,In Stock,999
2024-01-02,ELEC014,DJI Mini 3 Pro,Drones,1,112,23,759.99,In Stock,112
2024-01-02,ELEC015,Ring Video Doorbell,Smart Home,1,94,19,99.99,In Stock,94
2024-01-03,ELEC001,iPhone 15 Pro,Smartphones,2,69,15,999.99,In Stock,34
2024-01-03,ELEC002,Samsung Galaxy S24,Smartphones,5,109,24,899.99,In Stock,21
2024-01-03,ELEC003,MacBook Air M2,Laptops,1,156,32,1199.99,In Stock,156
2024-01-03,ELEC004,Dell XPS 13,Laptops,1,76,15,999.99,In Stock,76
2024-01-03,ELEC005,iPad Air,Tablets,1,122,27,599.99,In Stock,122
2024-01-03,ELEC006,Samsung Galaxy Tab S9,Tablets,3,109,23,649.99,In Stock,36
2024-01-03,ELEC007,AirPods Pro,Audio,6,120,27,249.99,In Stock,20
2024-01-03,ELEC008,Sony WH-1000XM5,Audio,2,114,24,349.99,In Stock,57
2024-01-03,ELEC009,Apple Watch Series 9,Wearables,5,121,27,399.99,In Stock,24
2024-01-03,ELEC010,Samsung Galaxy Watch 6,Wearables,1,189,39,349.99,In Stock,189
2024-01-03,ELEC011,Nintendo Switch OLED,Gaming,3,90,19,349.99,In Stock,30
2024-01-03,ELEC012,PlayStation 5,Gaming,2,171,35,499.99,In Stock,85
2024-01-03,ELEC013,Canon EOS R7,Cameras,1,74,15,1499.99,In Stock,74
2024-01-03,ELEC014,DJI Mini 3 Pro,Drones,2,110,23,759.99,In Stock,55
2024-01-03,ELEC015,Ring Video Doorbell,Smart Home,1,93,19,99.99,In Stock,93
2024-01-04,ELEC001,iPhone 15 Pro,Smartphones,5,64,15,999.99,In Stock,12
2024-01-04,ELEC002,Samsung Galaxy S24,Smartphones,3,106,24,899.99,In Stock,35
2024-01-04,ELEC003,MacBook Air M2,Laptops,1,155,32,1199.99,In Stock,155
2024-01-04,ELEC004,Dell XPS 13,Laptops,1,75,15,999.99,In Stock,75
2024-01-04,ELEC005,iPad Air,Tablets,1,121,27,599.99,In Stock,121
2024-01-04,ELEC006,Samsung Galaxy Tab S9,Tablets,0,109,23,649.99,In Stock,999
2024-01-04,ELEC007,AirPods Pro,Audio,5,115,27,249.99,In Stock,23
2024-01-04,ELEC008,Sony WH-1000XM5,Audio,1,113,24,349.99,In Stock,113
2024-01-04,ELEC009,Apple Watch Series 9,Wearables,1,120,27,399.99,In Stock,120
2024-01-04,ELEC010,Samsung Galaxy Watch 6,Wearables,4,185,39,349.99,In Stock,46
2024-01-04,ELEC011,Nintendo Switch OLED,Gaming,4,86,19,349.99,In Stock,21
2024-01-04,ELEC012,PlayStation 5,Gaming,4,167,35,499.99,In Stock,41
2024-01-04,ELEC013,Canon EOS R7,Cameras,1,73,15,1499.99,In Stock,73
2024-01-04,ELEC014,DJI Mini 3 Pro,Drones,1,109,23,759.99,In Stock,109
